Version,"3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799","3.0.14.799"
Class,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement,SpectrometerMeasurement
Mode,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan,Scan
Group,"","","","","","","","","","","","","","","","","",""
DUT Type,"","","","","","","","","","","","","","","","","",""
DUT Manufacturer,"","","","","","","","","","","","","","","","","",""
DUT Model,"","","","","","","","","","","","","","","","","",""
DUT Serial Number,"","","","","","","","","","","","","","","","","",""
DUT Lot,"","","","","","","","","","","","","","","","","",""
Part Number,"","","","","","","","","","","","","","","","","",""
353,0.00108750071193361,0.00114868792378283,0.00173595462481681,0.00194182103865726,0.0020475362241429,0.00208648392405866,0.00227565846650665,0.00231460616642241,0.00221903702041062,0.00242032135190805,0.00254272840878616,0.00250934466600122,0.00343870793167264,0.00355438673180817,0.00363293671483155,0.00361984505099432,0.00360675338715709,0.00379658251279694
354,0.000591398391125383,0.00102602819386154,0.00168762090314397,0.0017561673844487,0.00168660277828265,0.0019657595484127,0.00200620687244867,0.00221018029386251,0.00222123522747778,0.00236043265641744,0.00227256902533756,0.00246079690076782,0.00339589759344978,0.00343378702833842,0.00347029092003171,0.00341783779332943,0.00340925467087479,0.00353757875688693
355,0.000925447643072101,0.00136332285160175,0.00182348260960306,0.00208188845684064,0.00205933235685206,0.00212739637787023,0.00230804303830508,0.00235711244880656,0.00242367505759638,0.00252648105924712,0.00267744864074963,0.00253914413292492,0.00359976413105055,0.00373467562659205,0.00385571971321807,0.00387783353673628,0.0038487364005281,0.00394091612803561
356,0.000581845951091936,0.00108228211298621,0.0016083701598668,0.00170633082537338,0.00166846104733409,0.00182087907960791,0.00202712853190451,0.00200396850235982,0.00206930629636148,0.00219331739255624,0.00224464502560122,0.00219926388662853,0.00314204742870313,0.00324976821560257,0.00315329877616365,0.00320521553555635,0.00322288932598791,0.00326081433462229
357,0.00058921312040022,0.00122669266158547,0.00156771437821784,0.0017366058402811,0.00174772183884578,0.00187734872533382,0.00208801482716433,0.00202060167457857,0.00218291212800393,0.00222033106814383,0.00228236551174669,0.00222750268012104,0.00323427943431169,0.00313399443404023,0.00322574888139569,0.00332741702766083,0.00322047563729481,0.00325106045307996
358,0.000588083966826062,0.000888060741296211,0.00143458407885613,0.0015000631571787,0.00163465222915643,0.00171117494865943,0.00175526463484091,0.00182179526396759,0.00179427686455462,0.00194543028877958,0.00197595355494565,0.00205976639796058,0.00259061209460293,0.00284694828730489,0.00288324079777979,0.00296043588846431,0.00300132182582291,0.00303738133638341
359,0.000741181021813666,0.000774361446701639,0.00118582160196769,0.00132570595374398,0.00129459546484265,0.00130937858948477,0.00151052173899461,0.00156407715679211,0.00160816135472992,0.00163110903494035,0.00175241499624634,0.00166979817673173,0.00252027500131066,0.00249429635708833,0.00252359498475567,0.00254514446429921,0.00255667385510558,0.00262693326392864
360,0.000407204548073001,0.000880149461113828,0.00126549420468692,0.00128146554951221,0.00137953627409413,0.00146945464239899,0.00154779605866729,0.00154873554953937,0.0016358550550944,0.00180794411176097,0.00166917221810813,0.00164492729237713,0.00242205814408232,0.00249312710550066,0.00244973581930267,0.00254771384269797,0.00254778515130306,0.00252970841991244
361,0.000336434662911208,0.000655803493313671,0.00103387339193862,0.00119978808855731,0.00110729256596941,0.0012021031303271,0.00131764797708577,0.0013626649246877,0.00147796952565265,0.00154527521730114,0.00151096912889171,0.00152366142121469,0.00213676084889796,0.00220612241438788,0.00221051106279811,0.00226274668290028,0.0023176464147745,0.00232132146181721
362,0.000574432084043036,0.000709271339738684,0.00107635980786098,0.00120541401203059,0.00119897155276862,0.00128781424745626,0.0013652314804107,0.0014078371940089,0.00141925836322214,0.00154664890929373,0.00157895850272299,0.00156977087473557,0.00219986622233969,0.00227826110771387,0.00224311558942261,0.00228840780730662,0.00231507048850885,0.00241323837622875
363,0.000425850064656514,0.000633210647597205,0.00106949213774826,0.00111928285089023,0.00116601939376816,0.00123139502342883,0.0012685184402298,0.00141173672243219,0.00131673909512435,0.00145483192967491,0.00145751741470588,0.00150664358409442,0.00200530144251871,0.00204518293404295,0.00210631453347173,0.0021690204750722,0.00219778702659037,0.00221172584520574
364,0.000379956479503388,0.000649149062950831,0.000944262213876939,0.00101546887262832,0.000969029747355679,0.00101546887262832,0.00113001871496748,0.00116407407350075,0.00121652296792632,0.00121980102382792,0.00129100768257929,0.00130029550763382,0.00182711312548077,0.00184663815790013,0.00178836160853839,0.00192676841327252,0.0018357113048948,0.00190491470726187
365,0.000421012232749577,0.000580247844670489,0.000933039617182693,0.0010339133798982,0.000991234126454918,0.00107444810721403,0.00117505271887711,0.0012653051443622,0.00119379472299689,0.00127842408759529,0.00132582071969949,0.00135140164606995,0.00186971972415126,0.00180930453519898,0.00193844596806071,0.00195204141590845,0.00197177575493312,0.00205122042927104
366,0.000295284001202658,0.000572907451785194,0.000749653737492515,0.000838518159371014,0.000845500629642398,0.000855687384216403,0.000986924879111653,0.00103185394010446,0.00102269526972432,0.00106016907925291,0.00109371044329627,0.00109457395274764,0.00153307446217886,0.00161770876513078,0.00163818605170426,0.00165129576623474,0.0016251732377819,0.00171078648796675
367,0.000265898578239516,0.000514657022605536,0.000726827089862719,0.000811311489234821,0.000859284219886034,0.000820038981114682,0.000929840937477592,0.000997575101618606,0.00108070234710996,0.00107478421820016,0.00106369332721417,0.00112140796050615,0.00155743123053079,0.00160676802092971,0.00155524558541978,0.0016421310709851,0.00166590743548652,0.00173160440319746
368,0.00025471834516531,0.000734322800856718,0.000818737287767696,0.000869109855146536,0.00092703638060208,0.000905280210529124,0.000998876063535635,0.00107040742164973,0.00105803022053335,0.00113434628108469,0.00112255285674045,0.00117516077906036,0.0015364748200764,0.00158977717938419,0.00159632908179766,0.00162645876452257,0.00163910915049736,0.00166808261514931
369,0.00030515023207469,0.000503026871576826,0.000713771562368502,0.000776112779874254,0.000782477674142297,0.00089346058238432,0.000914358915127432,0.000909137490698116,0.000989523197389457,0.00100636717331083,0.00104277184151887,0.0010303610873853,0.00150193691410685,0.00152188143033308,0.00155960813102446,0.00154775722002123,0.00152951447241544,0.00154134308631424
370,0.000422446612507485,0.000565460939740225,0.000689978116026132,0.000719472595626286,0.000766841223827298,0.000781022845311874,0.000879373350791348,0.000899964296799809,0.000930623733101775,0.000996067574793983,0.00103664573405366,0.000990838273386533,0.00141131904409715,0.00153940015200262,0.0014825459602642,0.00153979833581756,0.00149234989149148,0.00155152144128801
371,0.000290511537849099,0.000514013722546909,0.000773069745506102,0.000825439821870642,0.000882536965406262,0.000885774682646728,0.000962443826900966,0.000992279391271862,0.000968039364108312,0.00108398773210807,0.00108278977672909,0.00111207492916911,0.00156830246168317,0.00152944048820961,0.00154164858674572,0.00156475065152622,0.0015822724154158,0.00164076082509505
372,0.000288558567377119,0.000381028432082441,0.000620482433580404,0.000671053545219038,0.000701061462527069,0.000741948744277454,0.0008029210065368,0.000814756798622438,0.000839687210353624,0.000866882105181409,0.000897846450132724,0.00089461850683664,0.00127040245568975,0.00125052914359365,0.00130031964149401,0.00127683090378395,0.00130524243083444,0.00130847740668673
373,2.35794542621544E-05,0.000214931615348117,0.000346752717392311,0.000400918092325946,0.000390138913234675,0.000426990231752957,0.000506419307681757,0.000496044347806409,0.00058413639634312,0.000565300573467823,0.000587061041258325,0.000594741206360855,0.00116273767902558,0.00125490251876535,0.00125387215605809,0.00129247112824522,0.00128018603442796,0.00130332956600628
374,0.000268848163234979,0.000312334280258018,0.000467115312862488,0.000511717306278721,0.000520511521977697,0.000565103447602632,0.000611967338130529,0.000670974662929266,0.000658972473848109,0.000659504092710187,0.000712574776573421,0.000702288849797095,0.00104063001498801,0.00108595737318832,0.00105238819847737,0.00109665094680839,0.00112446173971212,0.00113307858461734
375,0.000237477894518612,0.000300198870691875,0.000577961825784673,0.000630206962578768,0.000626941641529137,0.000649798888876553,0.00067265613622397,0.00069061540199694,0.000716449853830784,0.000773881088762528,0.000783677051911421,0.000791840354535498,0.00106792057278913,0.00106603128385009,0.00108908060890631,0.00111405071105055,0.00108523905473028,0.00113710003610677
376,0.000239633135470346,0.000278836627350569,0.000433327319062383,0.000475830695740446,0.000532724809598341,0.00053381220563112,0.00056143724294005,0.000576194760527763,0.000577812401731521,0.000627252750836716,0.00063656465813329,0.000652724571398199,0.000930352475494806,0.000908630561731841,0.000914110692531956,0.000937391729909753,0.000954555530034988,0.000954004724854985
377,0.000187598528729303,0.000254516076625432,0.000441598082226304,0.000454505188259484,0.000483551982999696,0.000520833372041104,0.000563071774926788,0.000563903508142827,0.000563633521444427,0.000615045665910149,0.000613057054206881,0.000596772211360925,0.00085595967978239,0.000869036122046144,0.000884354152942076,0.000895331221236284,0.000886540003504706,0.000907872538839373
378,0.000179158343255525,0.000276150442739068,0.000460266522792466,0.000478904222498525,0.000516126796327826,0.000515284367296584,0.000564945975732421,0.000588394973915594,0.000574694912509331,0.00062109539982636,0.000611663252999656,0.000641983747389815,0.000860229748558793,0.000861079896457869,0.000895449234628258,0.000923804960785678,0.000910143905266418,0.000918643427059019
379,9.21234498207913E-05,0.000275094102006276,0.000406288781411333,0.000449263423119891,0.000466658408469502,0.000484347498440326,0.000531862147561158,0.000579739773904373,0.000563237723471365,0.000567400409764986,0.000583306257791998,0.000611151264302949,0.000838497218526868,0.000807662095713393,0.000859184057167496,0.000887624390121312,0.000853286635388438,0.000871449730908492
380,0.000217301186915527,0.000366778638071893,0.000492275283439446,0.000518116505667238,0.000523284750112797,0.000600808416796174,0.000612436966798681,0.000643446433472032,0.000633869980528791,0.000682208266813721,0.000710633611264292,0.000710633611264292,0.000934096639545612,0.000975886157073103,0.000995647091717885,0.00099868723550939,0.00101540802636267,0.00101996824204993
381,0.000175948785072986,0.000242914956968608,0.000366435728540786,0.000407646914905987,0.000409188097051784,0.00041381890750557,0.000451533680644489,0.000485046220297106,0.000469765364781852,0.000489485744985743,0.000512119209412813,0.000490655251625837,0.000667281279026468,0.000721862341719326,0.000745430514138797,0.000718285881880969,0.000730915300195071,0.00074352050512118
382,0.000126071609396487,0.000239721432782483,0.000356322018460087,0.000372832941522007,0.000394393473574852,0.000422639289156314,0.000456464482165074,0.00045728058058785,0.000466213953421452,0.000479256117236367,0.000517981378473923,0.000507448608204977,0.000711243154111557,0.00070813449306197,0.000718431189405479,0.000739822405584012,0.000747657441410959,0.000744831646070066
383,0.000161749953218225,0.000237445820704374,0.000328089364716542,0.000377232693839718,0.000391784095484096,0.000406549075661286,0.000452311004509483,0.000463518421096308,0.000486093369391597,0.000494467041778137,0.00050874874206356,0.000512286039077818,0.0007825735186579,0.000759328999129109,0.000778421764492671,0.000778339230924817,0.000782548442885372,0.000795502544879882
384,0.000138760468696618,0.000254842810926742,0.000364410587766311,0.000399208461177719,0.000405361848040189,0.000414638998748003,0.000498253170717868,0.000494179440333256,0.000495593566464048,0.000531382183992724,0.000536474346973489,0.000536927934600347,0.000741958801693765,0.000756630476872948,0.000782103877448993,0.00077581104133831,0.000770786840987541,0.000814313129797912
385,0.000179563079248107,0.000225218407446979,0.000326128461694871,0.000367379752823944,0.000388942178412557,0.000382348164471086,0.000411602650670556,0.000448137788350185,0.000437508608895219,0.00048120963522925,0.000498276663487329,0.000497407973824605,0.000680638066987211,0.000665418642674862,0.000711482299144777,0.000722995683589387,0.000701898211873834,0.000684858335437867
386,0.000138312111323922,0.000195147245278094,0.000300632256066576,0.000345327921701772,0.000349928250561268,0.000338859361315726,0.000395739568977024,0.000402624064751334,0.00039991332471454,0.000439180473006152,0.000433137585626156,0.000432949788711722,0.000641722694896169,0.000631865016938275,0.000620165146425981,0.000642949535469506,0.000648741372333824,0.00064270241273243
387,0.000141111167673211,0.000200855253582171,0.000301296720528544,0.000330149984260185,0.000342178562077147,0.00034634642598315,0.000365883288042546,0.000385872179459394,0.000390565983804229,0.00041441898260971,0.000440820561690761,0.000429358935949248,0.000625242385200108,0.000592847994570989,0.000622781982529122,0.000612344295671092,0.000615733389158673,0.000624918193051878
388,0.00010703435580705,0.000198942504649048,0.000270944461283801,0.000299213334504219,0.000296144479791356,0.000316446134045685,0.000347311730484681,0.000357521574048631,0.000369998343096179,0.000377705195429389,0.000396413405890501,0.000392695370372993,0.000552045554590189,0.000577666769480243,0.000580027426951676,0.000590511523368926,0.000587803710386987,0.000600440170969368
389,0.000142835860247355,0.000201300845552013,0.000306989856067645,0.000339713100916914,0.000349321493605153,0.000363922147263082,0.000394559584446932,0.000417879598017676,0.000389283717999109,0.000422017019780227,0.000429915734054188,0.000442635741456412,0.000626863400225045,0.000617012882780856,0.000634753310561946,0.000648229599239191,0.000637850845571342,0.000623368863709228
390,0.000130680099160961,0.000230600290055958,0.000275133837034523,0.000325661089615024,0.000316786453579201,0.000328396524497629,0.000379600856259177,0.000408135282365883,0.000399514795446581,0.000416853332906349,0.000409217384364534,0.00042383932042553,0.000572290658917852,0.000607681395158533,0.000626783487694517,0.00063242735793143,0.000633950503071953,0.000635703149135676
391,0.000141923119772942,0.000156674985269054,0.000261927002158729,0.000280140469196257,0.000275803929425417,0.000284477008967097,0.000319169327133816,0.000350392413483863,0.000362228616152509,0.000371207804383895,0.000369473188475559,0.000359065493025543,0.00052607203777402,0.000523445859397851,0.000535690206986104,0.000545893829976316,0.000539771656182189,0.000562219626760654
392,0.000144906588896432,0.000198982351022137,0.00029006282062521,0.000305169504633525,0.000308791421026103,0.000335172142969132,0.00035126662235724,0.000386326773037391,0.0003750988322204,0.000404686596496493,0.000404857814362324,0.00041133116675124,0.000574702590637463,0.000597697552630111,0.000598038438878824,0.00061645404372408,0.000600796518527504,0.000602911562752474
393,0.000100229779820442,0.000180918879135949,0.000227631263484293,0.000239492799020429,0.000245200639627589,0.000268641939821354,0.000305324208084983,0.000292585674834623,0.000306814072437149,0.000320744656925941,0.000346784133573719,0.000356923358760112,0.000458437453479399,0.000476671389119965,0.000486175581426381,0.00049397437096707,0.000488682430300589,0.000502759658126341
394,0.000146728201487682,0.000164758100513978,0.00023784992444599,0.000249959709383241,0.000272350883787045,0.000279319189271933,0.000305831708316124,0.000311495810679853,0.000294967595688195,0.000320264261748336,0.000341927216840207,0.000330756740649061,0.00045499299038896,0.000481746432570283,0.000468492988804908,0.000488916918619716,0.000484550187705101,0.000501249933056999
395,0.000137197623247401,0.000167444478431996,0.000219392423035928,0.000246889261349079,0.00025643592727282,0.000272967854079882,0.000273225814219766,0.000311212317972167,0.00028999832332961,0.00032503298737539,0.000327323587787634,0.00032530700312564,0.000447667265951431,0.000449331682076644,0.000471560202404812,0.000481259050329553,0.000471847314496066,0.00048325120527852
396,8.3694486667538E-05,0.000212835979536266,0.000247805425941469,0.000262382215702732,0.000256244620013779,0.000290768595764138,0.000309948582292116,0.000318387776364426,0.000315905660460805,0.000330662967742331,0.000353678951575904,0.000361350946187095,0.000499308501744725,0.000492812830318856,0.000485592129508324,0.000498228355926756,0.000516280107953087,0.000512669757547821
397,0.000131250359088348,0.000144135003630324,0.000229675235442026,0.00025336321773533,0.000260628660009737,0.00025823056896942,0.000274011555170219,0.000292526880875483,0.000312469594052336,0.000323035756093356,0.000305537427276587,0.000321618561646303,0.000448592244729268,0.000469347522388494,0.000480649645070097,0.000482604521561407,0.000474217118514892,0.000502988143722194
398,0.000100906362848987,0.000135936775401859,0.00022770939669914,0.000244178216793376,0.000247142185117259,0.000264402601629703,0.000282534135661727,0.000309964578120605,0.000305736096710941,0.00031896708971507,0.000333302575535214,0.000342473527280769,0.000467028257939751,0.000491459117329178,0.000486138432728258,0.00050372152630873,0.000500208989959338,0.000496465119496861
399,0.000111165875237768,0.000178595582015075,0.000228896501270745,0.000249153828142311,0.000259017170662284,0.000274902448544501,0.000295344650630475,0.00030353312364047,0.000309310047907755,0.000331432292482679,0.000331697113735748,0.000349306228076623,0.000470590561268991,0.000468497894686087,0.00047017205878984,0.00047443271237973,0.000482427316245969,0.000481684288357225
400,6.91995040563395E-05,0.000179614822725359,0.000224428893022841,0.000249285599833875,0.000251632054993544,0.000268141444047575,0.000282618735570984,0.000299880337523092,0.000318967327052267,0.000327184543017416,0.000341757264535358,0.000335312933139904,0.00051678516903877,0.000467362619587454,0.000485332516827696,0.00050194856293444,0.000486461826797591,0.000496513345944834
401,0.000131800571975907,0.000132319063604451,0.000214995664725576,0.000227018448608257,0.000241162900234939,0.000241870122816273,0.000264501245418966,0.000264501245418966,0.000275400793437174,0.000294911816416333,0.000294204593834999,0.000305520155136345,0.00040578344830647,0.000439310026993438,0.000411853150306348,0.000443470159824815,0.000459278664584049,0.000453454478620121
402,9.80112868136736E-05,0.000167390270801726,0.000212173297240423,0.000237949367744865,0.000242899629881445,0.00025856597146375,0.000275528695952822,0.000290478940310437,0.000311579760999883,0.00030255382109918,0.000310247064846428,0.000324321393345873,0.000449860273666619,0.000460977299641155,0.000473603012034105,0.000468264964770947,0.000470395341909985,0.000479656026776501
403,0.000152919897352014,0.000138205464891023,0.000212298747149906,0.000233204575787476,0.000229879123744008,0.000233995129498419,0.000267518788952444,0.000277795312660809,0.000291535924964844,0.000299099790823266,0.000290247208142032,0.000309480867283505,0.000428556809150568,0.000462425513175475,0.000447690518892424,0.000461840652620401,0.00046461893864932,0.000452348770531885
404,0.000122335832211848,0.000150162103827725,0.000220248241019767,0.000243504644411787,0.00025482719800944,0.000254262708565918,0.00028070758798552,0.000294370479242878,0.000312573295159452,0.000317950785367001,0.0003140293155844,0.000319682635235183,0.00044941542445505,0.00046622940320967,0.000472085203368095,0.000484724128065871,0.000485303430470108,0.000486749483809964
405,6.80985327434161E-05,0.000128314465687307,0.000213632296955597,0.000225056680941867,0.000235986411729284,0.000244732301266447,0.000254125449776577,0.00026477628035613,0.000268456153464992,0.000290261444633194,0.000292803120112405,0.000302175219550244,0.000417358244863921,0.000413911433903614,0.000415490114325484,0.000432973226134749,0.000431047855110429,0.000427481894628085
406,0.00010235338230036,0.000157849188107172,0.000229492196423083,0.000240574189167515,0.000241880163337282,0.000245155638202367,0.000277652857911665,0.00029596765637385,0.000264036978771882,0.000295470011479687,0.000322266768497092,0.000304675983785164,0.000408918278610332,0.000399510032648995,0.000421381393667541,0.000438688718640166,0.000418446523335154,0.00044134433422748
407,0.000123818394030695,0.00010040620152942,0.000194487732274189,0.000204572763376915,0.000218181941228848,0.00022471092707812,0.000246964599580985,0.000245367122488296,0.000245838394742806,0.000268328303815358,0.000279011750857757,0.000270998208620831,0.000364216075639444,0.000385048721147924,0.000383232382788448,0.000385622143671328,0.000376576478419925,0.000398939206279662
408,9.13582465155917E-05,0.000128683975680555,0.000180419180399505,0.000196498231786249,0.000206888495986455,0.000212295194552173,0.000229338048726719,0.000238505928903371,0.000249620773678625,0.000248473060172347,0.000248825670948372,0.000264411067248681,0.000378738656478097,0.000376090505346291,0.000380211211670035,0.000381649310521275,0.000378054063393176,0.000388784493283194
409,9.03495414659593E-05,0.000159856676509706,0.000210835713875122,0.000224737827996171,0.000233524276527733,0.00024223262329457,0.000266951831830031,0.000280580589774542,0.000283279694879009,0.000293115923012904,0.000303269152427153,0.000299871725661616,0.000407281497688864,0.000420646916365911,0.000429559705987469,0.000438380611179939,0.000443066717063438,0.000429284052700204
410,0.000115241380942527,0.000160169971309694,0.000207932095272796,0.000236331235942282,0.000239262760140423,0.000246912206094946,0.00027024988701608,0.000286281659974661,0.000270761825984505,0.000309207095305432,0.000308955167444654,0.000294778499642709,0.000402558945344041,0.000399689613558976,0.000411194768270428,0.000424747678855582,0.000423346582731471,0.000425690724323734
411,9.94525945746252E-05,0.000122321009158794,0.000202188222648112,0.000212180317684944,0.000206690495524913,0.000222297343655196,0.000240470630103465,0.000258479721610667,0.000256864298151684,0.000270967460769879,0.000274458982904385,0.000285470157412405,0.000398802750690649,0.000391375369480891,0.000420124181924532,0.000397805288166249,0.000410750512505463,0.000429959080952141
412,8.05251782674013E-05,0.000117494798660027,0.000181897070093659,0.000194475999004143,0.000209157362177484,0.000215457197756753,0.000242365701313565,0.000240378593949894,0.000239212293945728,0.000258754566346794,0.000258815963401037,0.000271136858745717,0.00036577220257069,0.00037155759759464,0.000374535696362444,0.000394219845740207,0.000373964674474812,0.000376309280584372
413,9.35065804505191E-05,0.000126571556697651,0.000188796033821156,0.000215667050555197,0.000221537950691298,0.000231397335364305,0.000239327709992593,0.000256418552611019,0.000263379214602448,0.000277208994204099,0.000276374953629208,0.000286406737750656,0.000388162284954749,0.000387490372381581,0.00039231974961772,0.000402296442659459,0.000397428693527006,0.000385325101089555
414,0.000100129172660575,0.000111817571065877,0.000186615326945927,0.000217852949774618,0.000223931024971238,0.000229788079251617,0.000240102388676185,0.000253363643650629,0.000260241294514826,0.000268798270968107,0.000274765835706607,0.000286001065615511,0.000373742746069374,0.000376602306300389,0.000388780125410908,0.000389863561274833,0.000388780125410908,0.000396667538500284
